Índice;Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
4570;7/13/2001;Bully;$2.100.000;$881.824;$1.381.824
4571;5/29/2002;Elling;$2.100.000;$313.436;$313.436
4572;10/16/2016;Mi America;$2.100.000;$3.330;$3.330
4573;7/14/2009;[Rec];$2.100.000;$0;$23.266.821
4574;12/31/2012;Infected;$2.100.000;$0;$0
4575;12/31/2010;Lies in Plain Sight;$2.100.000;$0;$0
4576;10/6/2015;The Timber;$2.100.000;$0;$0
4577;1/19/2016;Sharkskin;$2.100.000;$0;$0
4578;9/30/2011;Courageous;$2.000.000;$34.522.221;$35.185.884
4579;4/8/1964;From Russia With Love;$2.000.000;$24.800.000;$78.900.000
4580;5/21/1982;Mad Max 2: The Road Warrior;$2.000.000;$24.600.832;$24.600.832
4581;1/1/1946;Notorious;$2.000.000;$24.464.742;$24.464.742
4582;8/2/1967;In the Heat of the Night;$2.000.000;$24.379.978;$24.391.108
4583;12/17/1973;Sleeper;$2.000.000;$18.344.729;$18.344.729
4584;8/11/1972;Everything You Always Wanted to Know;$2.000.000;$18.016.290;$18.016.290
4585;3/13/2015;It Follows;$2.000.000;$14.674.077;$20.649.774
4586;12/25/1962;To Kill A Mockingbird;$2.000.000;$13.129.846;$13.129.846
4587;3/9/2012;Silent House;$2.000.000;$12.739.737;$16.610.760
4588;10/20/2000;The Legend of Drunken Master;$2.000.000;$11.546.543;$11.546.543
4589;10/8/1999;Boys Don't Cry;$2.000.000;$11.540.607;$20.741.000
4590;2/9/2007;Das Leben der Anderen;$2.000.000;$11.284.657;$81.197.047
4591;1/1/1962;Lolita;$2.000.000;$9.250.000;$9.250.000
4592;1/1/1940;Boom Town;$2.000.000;$9.172.000;$9.172.000
4593;1/1/1947;Gentleman's Agreement;$2.000.000;$7.800.000;$7.800.000
4594;9/25/1961;The Hustler;$2.000.000;$7.600.000;$7.600.000
4595;12/31/1986;Witchboard;$2.000.000;$7.369.373;$7.369.373
4596;11/26/2003;Les Triplettes de Belleville;$2.000.000;$7.301.288;$17.403.168
4597;6/26/1998;Smoke Signals;$2.000.000;$6.719.300;$7.756.617
4598;6/11/2010;Winter's Bone;$2.000.000;$6.531.503;$16.131.551
4599;10/10/2014;Meet the Mormons;$2.000.000;$6.047.363;$6.049.171
4600;8/15/2003;American Splendor;$2.000.000;$6.003.587;$8.685.632
4601;8/25/2017;All Saints;$2.000.000;$5.794.030;$5.900.648
4602;7/2/2004;Before Sunset;$2.000.000;$5.792.822;$11.217.346
4603;3/30/2001;Amores Perros;$2.000.000;$5.383.834;$20.883.834
4604;8/20/2003;Thirteen;$2.000.000;$4.601.043;$9.505.996
4605;1/23/2004;Touching the Void;$2.000.000;$4.593.598;$15.396.525
4606;10/8/2010;Inside Job;$2.000.000;$4.311.834;$7.799.257
4607;1/1/1938;Alexander's Ragtime Band;$2.000.000;$4.000.000;$4.000.000
4608;6/17/2005;Me and You and Everyone We Know;$2.000.000;$3.885.134;$9.615.464
4609;8/28/2015;We Are Your Friends;$2.000.000;$3.591.417;$10.166.209
4610;11/10/2006;Harsh Times;$2.000.000;$3.337.931;$6.225.304
4611;3/3/2000;Ghost Dog: The Way of the Samurai;$2.000.000;$3.330.230;$10.672.492
4612;9/18/2015;Captive;$2.000.000;$2.583.301;$2.791.973
4613;8/2/2002;Full Frontal;$2.000.000;$2.512.846;$3.438.804
4614;12/25/2008;Waltz with Bashir;$2.000.000;$2.283.849;$13.912.289
4615;6/28/2006;Strangers with Candy;$2.000.000;$2.072.645;$2.077.844
4616;10/4/2006;Shortbus;$2.000.000;$1.985.292;$1.985.292
4617;5/2/2008;Son of Rambow: A Home Movie;$2.000.000;$1.785.505;$11.263.263
4618;9/12/2003;The Book of Mormon Movie, Volume 1: The Journey;$2.000.000;$1.660.865;$1.660.865
4619;5/12/2000;Hamlet;$2.000.000;$1.577.287;$2.419.669
4620;8/7/2015;The Diary of a Teenage Girl;$2.000.000;$1.477.002;$2.279.959
4621;7/27/2007;No End In Sight;$2.000.000;$1.433.319;$1.433.319
4622;4/30/1999;Get Real;$2.000.000;$1.152.411;$1.152.411
4623;9/7/2007;In the Shadow of the Moon;$2.000.000;$1.134.358;$1.134.358
4624;4/8/2011;Meek's Cutoff;$2.000.000;$977.772;$1.869.928
4625;2/11/2005;Inside Deep Throat;$2.000.000;$691.880;$691.880
4626;9/28/2001;Dinner Rush;$2.000.000;$638.227;$1.075.504
4627;9/24/2010;The Virginity Hit;$2.000.000;$636.706;$636.706
4628;5/15/1998;Clockwatchers;$2.000.000;$537.948;$539.961
4629;11/6/1985;Subway;$2.000.000;$390.659;$1.663.296
4630;4/15/2005;House of D;$2.000.000;$388.532;$466.106
4631;1/18/2008;Teeth;$2.000.000;$347.578;$2.350.641
4632;7/26/1996;Stonewall;$2.000.000;$304.602;$304.602
4633;9/8/2006;Sherrybaby;$2.000.000;$199.176;$759.504
4634;2/13/2015;The Last Five Years;$2.000.000;$147.299;$147.299
4635;9/18/1998;Six,String Samurai;$2.000.000;$134.624;$134.624
4636;5/26/2000;Hum to Mohabbt Karega;$2.000.000;$121.807;$121.807
4637;4/15/2005;It's All Gone Pete Tong;$2.000.000;$120.620;$2.226.603
4638;1/29/2010;Saint John of Las Vegas;$2.000.000;$102.645;$102.645
4639;4/15/1998;24 7: Twenty Four Seven;$2.000.000;$72.544;$72.544
4640;9/19/2014;Pump;$2.000.000;$72.277;$72.277
4641;10/24/2008;Roadside Romeo;$2.000.000;$55.202;$2.046.090
4642;5/4/2001;Eureka;$2.000.000;$49.388;$76.654
4643;4/7/2015;Lost River;$2.000.000;$45.431;$45.431
4644;7/18/2003;This Thing of Ours;$2.000.000;$37.227;$37.227
4645;2/3/2017;Growing up Smith;$2.000.000;$35.312;$35.312
4646;3/20/2009;Super Capers;$2.000.000;$30.955;$30.955
4647;1/1/1993;Return of the Living Dead 3;$2.000.000;$21.000;$21.000
4648;11/20/2009;The Missing Person;$2.000.000;$17.896;$17.896
4649;10/19/2012;The First Time;$2.000.000;$17.061;$17.061
4650;2/10/2006;London;$2.000.000;$12.667;$12.667
4651;8/27/2010;Circle;$2.000.000;$10.024;$10.024
4652;10/31/2008;Eden Lake;$2.000.000;$7.321;$4.294.373
4653;6/11/2010;Jerusalema;$2.000.000;$7.294;$10.679
4654;6/23/2006;Say Uncle;$2.000.000;$5.361;$5.361
4655;9/13/2013;Plush;$2.000.000;$3.080;$28.864
4656;10/26/2012;The Ghastly Love of Johnny X;$2.000.000;$2.436;$2.436
4657;12/29/2009;Lesbian Vampire Killers;$2.000.000;$0;$3.620.902
4658;9/9/2011;Grave Encounters;$2.000.000;$0;$2.151.887
4659;10/23/2015;Bone Tomahawk;$2.000.000;$0;$481.525
4660;12/10/2004;Freeze Frame;$2.000.000;$0;$105.377
4661;4/1/2013;Stitches;$2.000.000;$0;$63.555
4662;12/31/2015;To Be Frank, Sinatra at 100;$2.000.000;$0;$926
4663;4/28/1971;Bananas;$2.000.000;$0;$0
4664;12/31/2009;Nine Dead;$2.000.000;$0;$0
4665;10/14/2008;No Man's Land: The Rise of Reeker;$2.000.000;$0;$0
4666;7/7/2007;Rockaway;$2.000.000;$0;$0
4667;8/12/1927;Wings;$2.000.000;$0;$0
4668;3/17/2015;The Lady from Shanghai;$2.000.000;$0;$0
4669;3/19/2013;Straight A's;$2.000.000;$0;$0
4670;3/30/2012;The Legend of Hell’s Gate: An American Conspiracy;$2.000.000;$0;$0
4671;12/31/2012;Highway;$2.000.000;$0;$0
4672;2/8/2013;Small Apartments;$2.000.000;$0;$0
4673;7/9/2013;Coffee Town;$2.000.000;$0;$0
4674;12/31/2014;Lucky Dog;$2.000.000;$0;$0
4675;12/31/2001;Pendulum;$2.000.000;$0;$0
4676;9/9/2014;A Funny Thing Happened on the Way to the Forum;$2.000.000;$0;$0
4677;12/31/2007;Slacker Uprising;$2.000.000;$0;$0
4678;3/20/2015;The Walking Deceased;$2.000.000;$0;$0
4679;12/31/2011;True Bromance;$2.000.000;$0;$0
4680;8/21/2015;The Curse of Downers Grove;$2.000.000;$0;$0
4681;12/31/2015;Wind Walkers;$2.000.000;$0;$0
4682;7/8/2016;The Wrong Side of Right;$2.000.000;$0;$0
4683;12/1/2015;Shark Lake;$2.000.000;$0;$0
4684;9/24/2010;Buried;$1.987.650;$1.044.143;$21.270.290
4685;4/21/2015;The Marine 4;$1.950.000;$0;$0
4686;5/8/1987;River's Edge;$1.900.000;$4.600.000;$4.600.000
4687;7/25/2008;Man on Wire;$1.900.000;$2.962.242;$5.617.067
4688;10/8/2010;Nowhere Boy;$1.900.000;$1.445.366;$7.785.229
4689;7/11/2003;Northfork;$1.900.000;$1.420.578;$1.445.140
4690;4/24/2015;Brotherly Love;$1.900.000;$478.595;$478.595
4691;6/3/2011;Submarine;$1.900.000;$467.602;$4.581.937
4692;4/9/2010;The Square;$1.900.000;$406.216;$740.932
4693;2/8/2013;ABCD (Any Body Can Dance);$1.900.000;$222.098;$10.137.234
4694;6/29/2007;Chacun sa nuit;$1.900.000;$18.435;$139.317
4695;7/26/2013;Stranded;$1.900.000;$0;$285.593
4696;12/31/2015;Vaalu;$1.900.000;$0;$12.444
4697;8/27/2010;The Last Exorcism;$1.800.000;$41.034.350;$70.165.900
4698;11/16/1976;Carrie;$1.800.000;$25.878.153;$25.878.153
4699;11/9/1984;A Nightmare on Elm Street;$1.800.000;$25.504.513;$25.504.513
4700;6/27/2012;Beasts of the Southern Wild;$1.800.000;$12.795.746;$23.265.132
4701;1/29/1964;Dr. Strangelove;$1.800.000;$9.164.370;$9.164.370
4702;1/1/1973;Battle for the Planet of the Apes;$1.800.000;$8.800.000;$8.800.000
4703;9/18/1951;A Streetcar Named Desire;$1.800.000;$8.000.000;$8.000.000
4704;8/3/1968;Hang 'em High;$1.800.000;$6.800.000;$6.800.000
4705;11/15/2002;El crimen de padre Amaro;$1.800.000;$5.719.000;$5.719.000
4706;6/15/2001;Songcatcher;$1.800.000;$3.050.934;$3.050.934
4707;8/23/2011;Higher Ground;$1.800.000;$841.056;$842.693
4708;4/22/2011;POM Wonderful Presents: The Greatest Movie Ever Sold;$1.800.000;$638.476;$783.733
4709;1/7/2005;Travellers and Magicians;$1.800.000;$506.793;$1.322.161
4710;1/1/1993;Ed and his Dead Mother;$1.800.000;$673;$673
4711;12/31/2009;Deadline;$1.800.000;$0;$0
4712;3/13/2007;Sublime;$1.800.000;$0;$0
4713;2/3/2012;Dysfunctional Friends;$1.800.000;$0;$0
4714;12/31/2013;Independence Daysaster;$1.800.000;$0;$0
4715;3/11/2014;Against the Wild;$1.800.000;$0;$0
4716;10/20/2015;Beginners Guide to Sex;$1.800.000;$0;$0
4717;6/18/1999;Lola rennt;$1.750.000;$7.267.324;$22.879.194
4718;2/7/2003;May;$1.750.000;$145.540;$634.803
4719;10/8/2010;I Spit on Your Grave;$1.750.000;$93.051;$1.278.471
4720;12/31/2013;Living Dark: The Story of Ted the Caver;$1.750.000;$0;$0
4721;11/23/2001;In the Bedroom;$1.700.000;$35.930.604;$42.137.871
4722;3/19/2008;La misma luna;$1.700.000;$12.590.147;$23.271.741
4723;1/1/1972;Conquest of the Planet of the Apes;$1.700.000;$9.700.000;$9.700.000
4724;2/28/2014;The Lunchbox;$1.700.000;$4.231.500;$12.231.500
4725;10/4/2013;Grace Unplugged;$1.700.000;$2.507.159;$2.507.159
4726;10/1/1999;Happy, Texas;$1.700.000;$2.039.192;$2.891.228
4727;12/18/2015;Saul fia;$1.700.000;$1.777.043;$9.696.537
4728;6/17/2005;My Summer of Love;$1.700.000;$1.000.915;$4.727.375
4729;6/24/2005;Yes;$1.700.000;$396.035;$661.221
4730;8/5/1953;From Here to Eternity;$1.650.000;$30.500.000;$30.500.000
4731;1/1/1938;You Can't Take It With You;$1.644.000;$4.000.000;$4.000.000
4732;4/9/1999;Foolish;$1.600.000;$6.026.908;$6.026.908
4733;1/1/1949;She Wore a Yellow Ribbon;$1.600.000;$5.400.000;$5.400.000
4734;4/7/1974;The Conversation;$1.600.000;$4.420.000;$4.420.000
4735;10/15/2010;N,Secure;$1.600.000;$2.595.644;$2.595.644
4736;2/1/2008;Sukkar banat;$1.600.000;$1.060.591;$14.253.760
4737;12/31/1989;Out of the Dark;$1.600.000;$419.428;$419.428
4738;1/27/2006;Bubble;$1.600.000;$145.382;$145.382
4739;9/23/2005;Dil Jo Bhi Kahey...;$1.600.000;$129.319;$129.319
4740;1/15/1999;Mississippi Mermaid;$1.600.000;$27.795;$2.627.795
4741;9/26/2014;Two Night Stand;$1.600.000;$15.600;$868.081
4742;11/4/2005;I Love Your Work;$1.600.000;$3.264;$3.264
4743;12/31/1955;The King’s Thief;$1.577.000;$0;$0
4744;4/1/2011;Insidious;$1.500.000;$54.009.150;$99.870.886
4745;10/21/2016;Moonlight;$1.500.000;$27.854.931;$65.339.156
4746;9/12/2003;Cabin Fever;$1.500.000;$21.158.188;$30.351.664
4747;5/2/2007;Waitress;$1.500.000;$19.097.550;$22.217.183
4748;9/8/1989;Kickboxer;$1.500.000;$14.533.681;$14.533.681
4749;2/26/1988;Bloodsport;$1.500.000;$11.806.119;$11.806.119
4750;1/1/1939;Mr. Smith Goes To Washington;$1.500.000;$9.000.000;$9.000.000
4751;7/21/1995;Kids;$1.500.000;$7.412.216;$20.412.216
4752;10/5/2005;The Squid and the Whale;$1.500.000;$7.372.734;$11.191.423
4753;3/13/2002;Kissing Jessica Stein;$1.500.000;$7.025.722;$9.345.061
4754;10/31/1945;Spellbound;$1.500.000;$7.000.000;$7.000.000
4755;4/20/1979;Dawn of the Dead;$1.500.000;$5.100.000;$55.000.000
4756;9/23/1994;Exotica;$1.500.000;$5.046.118;$5.046.118
4757;7/26/2013;The To Do List;$1.500.000;$3.491.669;$4.128.828
4758;2/1/2013;The Gatekeepers;$1.500.000;$2.408.553;$2.592.308
4759;6/26/1998;Buffalo '66;$1.500.000;$2.380.606;$2.380.606
4760;3/2/1984;Repo Man;$1.500.000;$2.300.000;$2.300.000
4761;10/21/2016;I’m Not Ashamed;$1.500.000;$2.082.980;$2.082.980
4762;1/18/1985;Blood Simple;$1.500.000;$1.690.913;$2.730.877
4763;4/19/2002;Nueve Reinas;$1.500.000;$1.222.889;$12.412.889
4764;4/19/2013;The Lords of Salem;$1.500.000;$1.165.881;$1.541.131
4765;3/25/2005;The Ballad of Jack and Rose;$1.500.000;$712.294;$1.126.258
4766;4/22/2016;Unsullied;$1.500.000;$510.957;$510.957
4767;8/31/1994;Killing Zoe;$1.500.000;$418.953;$418.953
4768;5/17/2002;The Believer;$1.500.000;$406.035;$1.840.248
4769;3/7/2008;Snow Angels;$1.500.000;$402.858;$414.404
4770;8/10/2001;Session 9;$1.500.000;$378.176;$1.619.602
4771;2/11/2011;MOOZ,lum;$1.500.000;$362.239;$372.239
4772;9/5/2007;I Want Someone To Eat Cheese With;$1.500.000;$194.568;$194.568
4773;8/19/2011;Amigo;$1.500.000;$184.705;$184.705
4774;9/7/2007;Hatchet;$1.500.000;$175.281;$240.396
4775;10/31/2008;My Name is Bruce;$1.500.000;$173.066;$173.066
4776;2/5/1936;Modern Times;$1.500.000;$163.245;$165.049
4777;5/11/2007;The Salon;$1.500.000;$139.084;$139.084
4778;3/22/2002;Stolen Summer;$1.500.000;$119.841;$119.841
4779;3/6/2015;Road Hard;$1.500.000;$113.169;$113.169
4780;9/28/2005;Forty Shades of Blue;$1.500.000;$75.828;$172.569
4781;10/9/2009;Trucker;$1.500.000;$52.429;$52.429
4782;5/29/2009;Pontypool;$1.500.000;$3.865;$31.916
4783;9/28/2015;Me, You and Five Bucks;$1.500.000;$2.105;$2.105
4784;10/17/2014;Housebound;$1.500.000;$0;$236.863
4785;11/4/2005;Wal,Mart: The High Cost of Low Price;$1.500.000;$0;$58.692
4786;3/17/2006;Fetching Cody;$1.500.000;$0;$0
4787;6/3/2011;The Lion of Judah;$1.500.000;$0;$0
4788;11/11/2014;Once Upon a Time in Queens;$1.500.000;$0;$0
4789;2/13/2015;Girlhouse;$1.500.000;$0;$0
4790;4/17/2015;Closer to the Moon;$1.500.000;$0;$0
4791;5/26/2015;Mutant World;$1.500.000;$0;$0
4792;11/20/2015;#Horror;$1.500.000;$0;$0
4793;9/8/2015;Checkmate;$1.500.000;$0;$0
4794;12/21/1937;Snow White and the Seven Dwarfs;$1.488.000;$184.925.485;$184.925.485
4795;1/1/1968;Shalako;$1.455.000;$2.620.000;$2.620.000
4796;4/29/2005;Holy Girl;$1.400.000;$304.124;$1.261.792
4797;10/3/2014;La chambre bleue;$1.400.000;$260.441;$1.945.420
4798;9/17/2004;Incident at Loch Ness;$1.400.000;$36.830;$56.073
4799;4/5/2013;Eddie: The Sleepwalking Cannibal;$1.400.000;$1.632;$1.632
4800;12/31/2014;Kurmanjan datka;$1.400.000;$0;$0
4801;12/31/2015;One Shot;$1.400.000;$0;$0
4802;12/31/2014;House at the End of the Drive;$1.400.000;$0;$0
4803;7/6/1966;Batman , The Movie;$1.377.800;$0;$0
4804;3/5/1999;Lock, Stock and Two Smoking Barrels;$1.350.000;$3.897.569;$28.356.188
4805;8/19/1983;The Ballad of Gregorio Cortez;$1.305.000;$909.000;$909.000
4806;6/26/1936;San Francisco;$1.300.000;$2.868.000;$5.273.000
4807;10/9/1998;Festen;$1.300.000;$1.647.780;$1.647.780
4808;10/11/1996;Trees Lounge;$1.300.000;$749.741;$749.741
4809;5/22/2009;The Girlfriend Experience;$1.300.000;$695.840;$1.005.840
4810;3/23/2007;Journey from the Fall;$1.300.000;$635.305;$635.305
4811;5/5/2000;The Basket;$1.300.000;$609.042;$609.042
4812;1/30/2015;Above and Beyond;$1.300.000;$288.751;$288.751
4813;3/15/1985;Def,Con 4;$1.300.000;$210.904;$210.904
4814;12/9/2005;Neal n' Nikki;$1.300.000;$100.358;$329.621
4815;12/19/2003;The Hebrew Hammer;$1.300.000;$77.755;$90.213
4816;6/13/2014;Los insolitos peces gato;$1.300.000;$11.278;$16.653
4817;4/7/2006;Simon;$1.300.000;$4.055;$1.738.663
4818;5/24/2011;Forget Me Not;$1.300.000;$0;$13.465
4819;12/31/2009;The 41 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It;$1.300.000;$0;$0
4820;6/26/2015;The Algerian;$1.300.000;$0;$0
4821;1/1/1940;Rebecca;$1.288.000;$6.000.000;$6.000.000
4822;4/30/1981;Friday the 13th Part 2;$1.250.000;$21.722.776;$21.722.776
4823;1/1/1945;The Lost Weekend;$1.250.000;$11.000.000;$11.000.000
4824;8/31/1984;C.H.U.D.;$1.250.000;$4.700.000;$4.700.000
4825;4/19/2013;Filly Brown;$1.250.000;$2.850.357;$2.940.411
4826;1/21/1953;Niagara;$1.250.000;$2.500.000;$2.500.000
4827;10/28/1941;How Green Was My Valley;$1.250.000;$0;$0
4828;1/13/2015;Da Sweet Blood of Jesus;$1.250.000;$0;$0
4829;9/26/1975;The Rocky Horror Picture Show;$1.200.000;$140.510.017;$140.556.284
4830;10/29/2004;Saw;$1.200.000;$55.968.727;$103.880.027
4831;8/4/1989;Sex, Lies, and Videotape;$1.200.000;$24.741.667;$36.741.667
4832;2/15/2002;Super Troopers;$1.200.000;$18.492.362;$23.046.142
4833;2/22/2002;Monsoon Wedding;$1.200.000;$13.876.974;$27.025.600
4834;11/10/2000;You Can Count on Me;$1.200.000;$9.180.275;$10.827.356
4835;7/3/1951;Strangers on a Train;$1.200.000;$7.000.000;$7.000.000
4836;10/3/1955;The Trouble with Harry;$1.200.000;$7.000.000;$7.000.000
4837;12/29/1967;Il buono, il brutto, il cattivo;$1.200.000;$6.100.000;$6.100.000
4838;3/4/2003;The Day the Earth Stood Still;$1.200.000;$3.700.000;$3.700.000
4839;4/19/2013;Home Run;$1.200.000;$2.859.955;$2.859.955
4840;10/23/1992;Reservoir Dogs;$1.200.000;$2.832.029;$2.832.029
4841;7/7/2000;But I'm a Cheerleader;$1.200.000;$2.205.627;$2.509.344
4842;12/23/1956;The Wrong Man;$1.200.000;$2.000.000;$2.000.000
4843;1/1/1976;The Blue Bird;$1.200.000;$887.000;$887.000
4844;4/13/2012;Blue Like Jazz;$1.200.000;$595.018;$595.018
4845;8/28/2015;Que Horas Ela Volta?;$1.200.000;$376.976;$3.048.209
4846;11/19/1982;Q;$1.200.000;$255.000;$255.000
4847;3/21/2003;Down & Out with the Dolls;$1.200.000;$58.936;$58.936
4848;6/1/2012;Pink Ribbons, Inc.;$1.200.000;$26.608;$26.608
4849;2/11/2011;Certifiably Jonathan;$1.200.000;$7.826;$7.826
4850;9/18/2015;La navaja de Don Juan;$1.200.000;$4.254;$4.254
4851;12/31/2008;Extreme Movie;$1.200.000;$0;$81.338
4852;10/20/1936;The Charge of the Light Brigade;$1.200.000;$0;$0
4853;6/18/2004;Grand Theft Parsons;$1.200.000;$0;$0
4854;8/28/2012;Below Zero;$1.200.000;$0;$0
4855;9/7/2012;Crowsnest;$1.200.000;$0;$0
4856;9/14/2012;Airborne;$1.200.000;$0;$0
4857;9/9/2014;Cotton Comes to Harlem;$1.200.000;$0;$0
4858;2/3/2015;Bleeding Hearts;$1.200.000;$0;$0
4859;12/31/2013;The Wicked Within;$1.200.000;$0;$0
4860;3/21/2014;God’s Not Dead;$1.150.000;$60.755.732;$63.777.092
4861;10/7/2005;Waiting...;$1.125.000;$16.124.543;$18.673.274
4862;5/12/2006;Dead Man's Shoes;$1.125.000;$6.408;$414.736
4863;12/25/2005;Wolf Creek;$1.100.000;$16.186.348;$29.005.064
4864;2/11/2005;Ong,Bak;$1.100.000;$4.563.167;$24.062.965
4865;3/23/2012;Serbuan maut;$1.100.000;$4.105.123;$9.297.407
4866;9/4/1987;The Offspring;$1.100.000;$1.355.728;$1.355.728
4867;2/22/2002;Sex with Strangers;$1.100.000;$247.740;$247.740
4868;5/18/2012;Beyond the Black Rainbow;$1.100.000;$56.491;$56.491
4869;5/14/2003;Dracula: Pages from a Virgin's Diary;$1.100.000;$39.659;$81.371
4870;11/21/2014;The Sleepwalker;$1.100.000;$2.636;$2.636
4871;3/7/2017;Departure;$1.100.000;$0;$27.561
4872;4/7/2009;Faith Like Potatoes;$1.100.000;$0;$0
4873;3/23/2010;Lake Mungo;$1.100.000;$0;$0
4874;4/7/2015;Silent Running;$1.100.000;$0;$0
4875;12/31/2010;Dead Undead The;$1.100.000;$0;$0
4876;12/31/2013;The Vatican Exorcisms;$1.100.000;$0;$0
4877;12/11/2009;Rocket Singh: Salesman of the Year;$1.070.000;$164.649;$5.348.767
4878;1/23/1943;Casablanca;$1.039.000;$10.462.500;$10.462.500
4879;11/21/1976;Rocky;$1.000.000;$117.235.147;$225.000.000
4880;1/6/2012;The Devil Inside;$1.000.000;$53.262.945;$101.759.490
4881;10/7/1963;Tom Jones;$1.000.000;$37.600.000;$37.600.000
4882;4/17/2015;Unfriended;$1.000.000;$32.482.090;$62.561.449
4883;2/8/1976;Taxi Driver;$1.000.000;$28.262.574;$28.316.211
4884;5/24/2006;An Inconvenient Truth;$1.000.000;$24.146.161;$52.769.915
4885;2/1/1980;The Fog;$1.000.000;$21.378.361;$21.378.361
4886;5/25/2012;Chernobyl Diaries;$1.000.000;$18.119.640;$42.411.721
4887;4/10/1981;The Howling;$1.000.000;$17.985.000;$17.985.000
4888;5/8/1963;Dr. No;$1.000.000;$16.067.035;$59.567.035
4889;9/18/1987;Hellraiser;$1.000.000;$14.564.000;$14.575.148
4890;9/16/2005;Cry Wolf;$1.000.000;$10.047.674;$15.943.081
4891;8/18/2000;Godzilla 2000;$1.000.000;$10.037.390;$10.037.390
4892;12/29/2010;Blue Valentine;$1.000.000;$9.737.892;$16.566.240
4893;1/20/2006;Transamerica;$1.000.000;$9.015.303;$16.553.163
4894;1/1/1970;Beyond the Valley of the Dolls;$1.000.000;$9.000.000;$9.000.000
4895;1/1/1956;Love Me Tender;$1.000.000;$9.000.000;$9.000.000
4896;1/1/1949;Sands of Iwo Jima;$1.000.000;$7.800.000;$7.800.000
4897;9/25/2015;The Green Inferno;$1.000.000;$7.192.291;$12.931.569
4898;10/19/2012;The Sessions;$1.000.000;$6.002.451;$11.495.204
4899;4/4/2008;Shine a Light;$1.000.000;$5.505.267;$16.173.879
4900;3/23/2012;October Baby;$1.000.000;$5.355.847;$5.391.992
4901;9/12/2014;The Skeleton Twins;$1.000.000;$5.284.309;$5.797.192
4902;6/14/2013;20 Feet From Stardom;$1.000.000;$4.946.250;$5.892.466
4903;6/12/2009;Food, Inc.;$1.000.000;$4.417.674;$4.731.944
4904;7/28/2017;An Inconvenient Sequel;$1.000.000;$3.496.795;$4.014.111
4905;8/21/1998;Next Stop, Wonderland;$1.000.000;$3.395.581;$3.465.703
4906;6/6/2014;Obvious Child;$1.000.000;$3.122.616;$3.324.070
4907;10/21/2011;Martha Marcy May Marlene;$1.000.000;$2.981.038;$5.438.911
4908;8/3/2005;Junebug;$1.000.000;$2.678.010;$3.553.253
4909;8/1/2008;Frozen River;$1.000.000;$2.511.476;$6.030.129
4910;11/21/2001;The Sidewalks of New York;$1.000.000;$2.402.459;$3.575.308
4911;4/24/1998;Two Girls and a Guy;$1.000.000;$2.057.193;$2.315.026
4912;9/29/2000;The Broken Hearts Club: A Romantic Comedy;$1.000.000;$1.744.858;$2.022.442
4913;6/28/2006;Who Killed the Electric Car?;$1.000.000;$1.678.874;$1.849.392
4914;9/18/2009;The Secrets of Jonathan Sperry;$1.000.000;$1.355.079;$1.355.079
4915;7/17/1996;Walking and Talking;$1.000.000;$1.287.480;$1.615.787
4916;9/19/2003;Bubba Ho,Tep;$1.000.000;$1.239.183;$1.492.895
4917;12/7/2001;No Man's Land;$1.000.000;$1.067.481;$2.684.207
4918;10/9/1998;Slam;$1.000.000;$1.009.819;$1.087.521
4919;4/6/2001;Brigham City;$1.000.000;$852.206;$852.206
4920;12/1/2000;Panic;$1.000.000;$779.137;$1.425.707
4921;5/9/2014;Palo Alto;$1.000.000;$767.732;$1.156.309
4922;9/8/2000;Fiza;$1.000.000;$623.791;$1.179.462
4923;2/3/2010;Ajami;$1.000.000;$621.859;$2.721.096
4924;10/23/1998;Orgazmo;$1.000.000;$582.024;$627.287
4925;7/29/2011;The Future;$1.000.000;$568.662;$1.239.174
4926;2/14/2003;All the Real Girls;$1.000.000;$549.666;$703.020
4927;10/24/2014;23 Blast;$1.000.000;$549.185;$549.185
4928;6/20/1997;Dream With The Fishes;$1.000.000;$542.909;$542.909
4929;7/19/2013;The Act of Killing;$1.000.000;$486.919;$501.289
4930;5/2/2003;Blue Car;$1.000.000;$464.126;$475.367
4931;10/19/2007;Wristcutters: A Love Story;$1.000.000;$446.165;$473.769
4932;5/5/2000;Luminarias;$1.000.000;$428.535;$428.535
4933;7/18/2014;I Origins;$1.000.000;$336.472;$852.399
4934;11/28/2014;Antarctica: A Year on Ice;$1.000.000;$288.757;$288.757
4935;8/22/2003;The Battle of Shaker Heights;$1.000.000;$280.351;$839.145
4936;1/18/2008;Taxi to the Dark Side;$1.000.000;$274.661;$304.472
4937;4/8/2016;The Invitation;$1.000.000;$231.738;$354.836
4938;9/24/2004;Guiana 1838;$1.000.000;$227.241;$227.241
4939;12/30/2002;Love Lisa;$1.000.000;$213.137;$213.137
4940;7/7/2006;Once in a Lifetime: the Extraordinary Story of the New York Cosmos;$1.000.000;$144.601;$215.559
4941;8/22/2001;Lisa Picard is Famous;$1.000.000;$113.433;$113.433
4942;7/31/2015;Beyond the Brick: A LEGO Brickumentary;$1.000.000;$101.531;$101.531
4943;10/30/2009;The House of the Devil;$1.000.000;$101.215;$102.812
4944;6/1/2012;Hardflip;$1.000.000;$96.734;$96.734
4945;3/11/2016;Creative Control;$1.000.000;$63.014;$63.014
